Form_Number,Age,Gender,No.of dependents,Occupation,City,"Education(1-ungraduate, 2-graduate,3-postgraduate)",Personal Income(in $),Personal Income,Family Income(in $),Family Income,Amount invested In last 6 months,Amount invested till date(in $),Amount invested till date,Earnings till date(NFT),Retained,last_transaction
654,31,Female,0,self_employed,334,3,4355.97,326697.75,3086.91,617382,4072.35,271.49,4072.35,6954.00,0,26-05-2019
655,53,Male,3,salaried,334,2,976.25,73218.75,2627.66,525532,36817.8,2454.52,36817.8,6460.00,1,23-10-2019
656,59,Male,3,salaried,1564,3,9841.52,738114,8568.41,1713682,18435.9,1229.06,18435.9,241.00,0,31-12-2019
657,35,Female,2,self_employed,1633,3,3151.8,236385,6465.39,1293078,6,0.4,6,231486.00,1,05-11-2019
658,71,Male,0,self_employed,691,3,1465.72,109929,1563.75,312750,188.1,12.54,188.1,6829.00,0,19-10-2019
659,51,Female,0,self_employed,1084,2,2825.44,211908,1429.9,285980,17818.35,1187.89,17818.35,35159.00,1,18-12-2019
660,32,Male,0,salaried,334,2,7565.7,567427.5,8570.84,1714168,1.65,0.11,1.65,1621.00,0,22-12-2019
661,57,Female,0,self_employed,1477,2,1776.44,133233,1776.44,355288,8.85,0.59,8.85,35235.00,0,NaT
662,72,Male,0,retired,479,3,2287.07,171530.25,1577.75,315550,10.35,0.69,10.35,324.00,0,13-06-2019
663,24,Male,0,student,167,3,1788.86,134164.5,1478.37,295674,3173.55,211.57,3173.55,5689.00,0,19-11-2019
664,71,Male,0,retired,578,3,1987.97,149097.75,3730.12,746024,47889.6,3192.64,47889.6,7568.00,0,12-12-2019
665,39,Male,0,salaried,531,3,2142.75,160706.25,2420.8,484160,47857.95,3190.53,47857.95,3546.00,0,13-12-2019
666,60,Female,0,self_employed,61,2,9408.72,705654,8885.28,1777056,860.55,57.37,860.55,4333.00,0,24-12-2019
667,45,Male,0,self_employed,1111,2,11336.36,850227,8488.12,1697624,190368.9,12691.26,190368.9,2252.00,0,04-12-2019
668,90,,,self_employed,1096,2,3402.63,255197.25,3558.69,711738,5.1,0.34,5.1,8.00,0,12-11-2019
669,43,Male,0,self_employed,1020,3,8962.41,672180.75,8970.21,1794042,1.95,0.13,1.95,532.00,0,NaT
670,79,Female,0,self_employed,146,2,5922.21,444165.75,3821.24,764248,9.45,0.63,9.45,34325.00,0,NaT
671,34,Male,0,self_employed,1322,2,21901.49,1642611.75,18324.32,3664864,65550.45,4370.03,65550.45,4821.00,0,12-12-2019
672,48,Male,0,self_employed,409,2,2079.86,155989.5,1870.77,374154,3.15,0.21,3.15,53.00,0,NaT
673,54,Male,,self_employed,1446,2,3943.58,295768.5,3939.85,787970,0.9,0.06,0.9,255.00,0,23-04-2019
674,25,Male,0,student,1020,2,7035.57,527667.75,6147.87,1229574,32799.6,2186.64,32799.6,3255.00,0,31-12-2019
675,64,Male,0,self_employed,696,2,1500.32,112524,1511.7,302340,1253.55,83.57,1253.55,32532.00,0,10-12-2019
676,67,Male,0,self_employed,195,2,7828.22,587116.5,7826.56,1565312,7.65,0.51,7.65,770.00,0,NaT
677,50,Female,0,self_employed,15,3,6663.16,499737,6663.16,1332632,1.5,0.1,1.5,532.00,0,01-08-2019
678,61,Male,0,salaried,814,2,247.52,18564,7690.05,1538010,13077.45,871.83,13077.45,25205.00,1,22-12-2019
680,30,Female,0,self_employed,649,1,8033.87,602540.25,4500.85,900170,4.5,0.3,4.5,256.00,0,17-11-2019
681,21,Male,0,student,1096,2,9117.09,683781.75,11444.76,2288952,4.5,0.3,4.5,1380.00,0,18-11-2019
682,46,Female,0,self_employed,517,2,2420.85,181563.75,2598.22,519644,218.4,14.56,218.4,2561.00,0,NaT
683,30,Female,0,salaried,334,1,678.52,50889,1830.6,366120,32147.55,2143.17,32147.55,4562.00,1,NaT
684,27,Male,1,self_employed,1236,3,1395.54,104665.5,1611.4,322280,7096.8,473.12,7096.8,62462.00,0,10-12-2019
685,61,Male,0,salaried,1525,2,1967.06,147529.5,2017.72,403544,543.9,36.26,543.9,6542.00,0,NaT
686,50,Male,0,salaried,1565,1,6059.27,454445.25,8371.58,1674316,450034.5,30002.3,450034.5,11620.00,0,09-12-2019
687,49,Female,0,self_employed,15,3,2739.31,205448.25,2175.82,435164,8901.3,593.42,8901.3,546.00,0,18-12-2019
688,44,Male,2,self_employed,649,3,1974.69,148101.75,1970.24,394048,1.95,0.13,1.95,5426.00,0,31-10-2019
689,62,Male,0,self_employed,1096,1,18923.32,1419249,19670.53,3934106,29485.2,1965.68,29485.2,5672.00,0,22-12-2019
690,50,Female,0,self_employed,1589,3,1976.27,148220.25,1975.77,395154,9.45,0.63,9.45,256.00,0,03-09-2019
691,51,Female,0,self_employed,1022,2,1582.04,118653,1436.05,287210,9.45,0.63,9.45,3222.00,0,NaT
692,47,Female,0,self_employed,833,3,2284.41,171330.75,2290.87,458174,1.95,0.13,1.95,98273.00,0,13-12-2019
693,72,Female,0,self_employed,15,1,7743.86,580789.5,7711.52,1542304,6.6,0.44,6.6,614.00,0,23-11-2019
694,59,Male,3,self_employed,409,3,3332.09,249906.75,3332.09,666418,1.65,0.11,1.65,3928.00,0,19-01-2019
695,69,Male,0,retired,409,3,2002.19,150164.25,2002.19,400438,1.65,0.11,1.65,3883.00,0,NaT
696,41,Female,0,self_employed,1042,2,913.71,68528.25,3262.22,652444,27222.15,1814.81,27222.15,6901.00,1,11-12-2019
697,49,Male,0,self_employed,,2,2707.74,203080.5,2707.74,541548,6,0.4,6,82.00,0,NaT
698,57,Female,0,self_employed,834,2,4839.8,362985,4687.5,937500,4424.85,294.99,4424.85,98304.00,1,27-10-2019
700,50,Male,0,salaried,1388,3,17477.81,1310835.75,14978.79,2995758,6072.6,404.84,6072.6,3425.00,0,16-10-2019
701,68,Female,0,self_employed,1096,3,1498.12,112359,2744.34,548868,1.65,0.11,1.65,3332.00,0,10-12-2019
702,35,Male,0,salaried,1071,3,2742.4,205680,2942.82,588564,1304.85,86.99,1304.85,8793.00,0,18-05-2019
703,32,Female,0,self_employed,623,1,139454.42,10459081.5,140353.19,28070638,15909.6,1060.64,15909.6,100940.00,0,24-07-2019
704,53,Female,0,salaried,526,2,1590.44,119283,1590.44,318088,8.85,0.59,8.85,15426.00,0,NaT
705,27,Female,0,student,1111,2,2809.42,210706.5,3274.26,654852,17832.45,1188.83,17832.45,12915.00,0,22-12-2019
706,36,Female,0,self_employed,649,2,1965.39,147404.25,1960.5,392100,9,0.6,9,15063.00,0,NaT
707,79,Male,4,self_employed,620,1,2236.88,167766,2451.93,490386,6.9,0.46,6.9,12230.00,0,26-09-2019
708,69,Male,0,retired,334,1,44965.49,3372411.75,6842.75,1368550,4.95,0.33,4.95,13499.00,1,28-12-2019
709,52,Female,0,self_employed,623,2,3032.96,227472,6597.77,1319554,321436.5,21429.1,321436.5,4846.00,1,24-10-2019
710,35,Male,,self_employed,1339,3,2870.65,215298.75,2375.6,475120,220.5,14.7,220.5,6431.00,0,16-11-2019
711,71,Female,0,retired,1020,3,3164.86,237364.5,3304.63,660926,42867.15,2857.81,42867.15,5134.00,0,13-12-2019
713,51,Male,0,salaried,973,1,91748.31,6881123.25,99468.74,19893748,117867.45,7857.83,117867.45,113862.00,0,22-03-2019
714,42,Male,2,self_employed,1388,1,88.05,6603.75,21861.59,4372318,54145.5,3609.7,54145.5,976.00,1,24-12-2019
715,49,Male,,self_employed,563,2,1296.78,97258.5,2296.31,459262,7.65,0.51,7.65,2817.00,1,14-02-2019
716,75,Female,0,self_employed,1020,3,2010.69,150801.75,1946.79,389358,4.5,0.3,4.5,5403.00,0,22-06-2019
717,63,Female,0,self_employed,15,3,1607.77,120582.75,1607.77,321554,0.6,0.04,0.6,3545.00,0,NaT
718,33,Male,0,self_employed,146,2,781.59,58619.25,2831.6,566320,253357.35,16890.49,253357.35,66546.00,1,17-11-2019
719,44,Female,0,self_employed,1096,3,2404.46,180334.5,2543.18,508636,89.85,5.99,89.85,675.00,0,12-11-2019
720,60,Male,1,self_employed,1135,3,2644.78,198358.5,3309.7,661940,20235,1349,20235,3666.00,1,30-11-2019
721,51,Male,3,self_employed,1096,2,1667.63,125072.25,2189.29,437858,8.1,0.54,8.1,4.00,0,31-10-2019
722,22,Male,0,student,1232,3,1885.06,141379.5,1861.92,372384,7.35,0.49,7.35,36436.00,0,22-12-2019
723,63,Male,0,self_employed,1525,3,3778.47,283385.25,3281.89,656378,1.05,0.07,1.05,63634.00,0,08-12-2019
726,44,Male,2,self_employed,409,2,1450.82,108811.5,1862.27,372454,5493,366.2,5493,32208.00,0,26-12-2019
728,10,Female,0,student,15,3,1522.29,114171.75,1568.78,313756,6.6,0.44,6.6,654.00,0,18-09-2019
729,50,Male,0,salaried,1595,2,4244.83,318362.25,4562.96,912592,7595.55,506.37,7595.55,554.00,0,21-11-2019
730,70,Male,1,salaried,1076,2,1478.85,110913.75,1509.68,301936,2.1,0.14,2.1,2545.00,0,18-12-2019
731,19,Male,0,student,409,2,7684.54,576340.5,7712.12,1542424,1.35,0.09,1.35,724.00,0,06-09-2019
732,55,Male,0,salaried,834,3,2644.01,198300.75,2570.12,514024,4.95,0.33,4.95,4526.00,0,09-04-2019
733,60,Male,0,salaried,623,2,45353.33,3401499.75,35046.87,7009374,5358.9,357.26,5358.9,24546.00,0,31-12-2019
734,22,Male,0,self_employed,447,3,526.22,39466.5,1938.54,387708,3.15,0.21,3.15,54466.00,1,17-12-2019
735,40,Male,0,self_employed,834,3,7566.05,567453.75,5753.47,1150694,2149.35,143.29,2149.35,45.00,0,18-12-2019
736,49,Male,0,self_employed,409,3,1450.83,108812.25,3387.41,677482,445935,29729,445935,6332.00,0,29-11-2019
737,47,Male,0,salaried,146,2,4609.8,345735,4398.53,879706,3314.85,220.99,3314.85,644.00,0,14-08-2019
738,25,Female,0,student,146,3,3545.28,265896,2714.04,542808,7802.85,520.19,7802.85,5636.00,0,09-08-2019
739,62,Male,,self_employed,492,3,10076.1,755707.5,9632.22,1926444,2.55,0.17,2.55,1367.00,0,01-12-2019
740,26,Male,0,salaried,575,2,2196.49,164736.75,2703.98,540796,5.55,0.37,5.55,5432.00,1,NaT
741,90,,0,self_employed,409,2,190.75,14306.25,3082.52,616504,104.7,6.98,104.7,4544.00,0,05-12-2019
742,73,Female,0,self_employed,834,2,7243.24,543243,6572.84,1314568,4.95,0.33,4.95,55.00,0,16-12-2019
743,71,Female,0,retired,1215,3,2165.68,162426,2154.55,430910,1.05,0.07,1.05,54.00,0,30-11-2019
744,59,Female,0,self_employed,,2,8599.87,644990.25,8598.37,1719674,6.6,0.44,6.6,1537.00,0,19-01-2019
745,55,Female,,self_employed,388,3,1418.81,106410.75,2323.83,464766,1.35,0.09,1.35,3266.00,0,06-07-2019
746,39,Male,0,self_employed,1088,1,14983.38,1123753.5,14994.35,2998870,909.6,60.64,909.6,7988.00,0,NaT
747,6,Female,,student,1020,2,2800.13,210009.75,2800.13,560026,2.85,0.19,2.85,564.00,0,25-07-2019
748,42,Male,2,salaried,1589,2,16704.74,1252855.5,17082.13,3416426,36664.8,2444.32,36664.8,65.00,0,08-12-2019
749,90,Male,0,self_employed,,2,307672.7,23075452.5,307417.18,61483436,2692.65,179.51,2692.65,303121.00,0,26-11-2019
750,74,Male,0,self_employed,1020,1,1572.99,117974.25,3172.83,634566,15000.6,1000.04,15000.6,3543.00,1,31-12-2019
751,35,Male,2,self_employed,834,1,57070.36,4280277,68258.79,13651758,10.5,0.7,10.5,6130.00,0,12-12-2019
752,40,Male,0,salaried,146,2,8693.5,652012.5,8499.96,1699992,6.15,0.41,6.15,546.00,0,02-11-2019
753,37,Male,0,self_employed,409,2,4955.14,371635.5,6825.69,1365138,12004.65,800.31,12004.65,4741.00,0,21-11-2019
754,38,Male,2,salaried,1232,2,6379.4,478455,6379.4,1275880,9,0.6,9,660.00,0,NaT
755,59,Male,2,salaried,50,2,4181.16,313587,3911.76,782352,7.05,0.47,7.05,3965.00,0,01-12-2019
756,47,Male,0,salaried,1181,2,1591.99,119399.25,1591.99,318398,7.65,0.51,7.65,5462.00,0,05-02-2019
757,27,Male,0,salaried,15,2,4069.6,305220,4451.86,890372,3506.4,233.76,3506.4,2234.00,0,22-12-2019
758,65,Female,0,self_employed,1096,2,11308.99,848174.25,11533.07,2306614,0.9,0.06,0.9,5311.00,0,NaT
759,8,Male,0,student,1020,2,4362.14,327160.5,4362.14,872428,5.55,0.37,5.55,4244.00,0,NaT
760,59,Female,,self_employed,1020,2,604.02,45301.5,5809.23,1161846,214290,14286,214290,12321.00,0,26-12-2019
761,59,Female,0,self_employed,1418,3,1943.14,145735.5,2094.38,418876,3.9,0.26,3.9,34323.00,0,29-06-2019
762,47,Male,0,salaried,1232,3,9503.92,712794,7717.46,1543492,646.35,43.09,646.35,4448.00,0,08-11-2019
763,42,Male,0,self_employed,665,2,831.89,62391.75,1510.05,302010,4292.55,286.17,4292.55,5466.00,0,25-09-2019
764,59,Female,0,self_employed,572,3,1497.74,112330.5,1497.74,299548,9.15,0.61,9.15,7467.00,0,05-07-2019
765,48,Male,2,self_employed,1494,3,11385.56,853917,8596.09,1719218,20590.95,1372.73,20590.95,3535.00,0,24-12-2019
766,44,Male,0,self_employed,1184,3,804.83,60362.25,2247.57,449514,30007.95,2000.53,30007.95,4094.00,0,13-11-2019
767,90,,0,self_employed,623,1,2859.73,214479.75,6107.7,1221540,231437.1,15429.14,231437.1,1231.00,1,NaT
768,39,Male,2,salaried,1020,3,5937.98,445348.5,5064.27,1012854,5097.6,339.84,5097.6,3475.00,0,17-12-2019
770,44,Male,0,salaried,617,2,198.89,14916.75,1929.46,385892,46081.05,3072.07,46081.05,4966.00,1,NaT
771,32,Female,0,salaried,1020,2,2526.25,189468.75,2602.39,520478,8039.4,535.96,8039.4,345.00,0,31-12-2019
773,59,Male,,self_employed,905,2,4595.57,344667.75,4590.66,918132,9.45,0.63,9.45,2445.00,0,26-11-2019
774,62,Male,0,,697,3,1767.37,132552.75,1596.87,319374,0.6,0.04,0.6,2556.00,0,03-12-2019
775,72,Male,0,retired,1138,3,1027.17,77037.75,1722.72,344544,66436.65,4429.11,66436.65,52.00,0,15-12-2019
776,59,Female,1,self_employed,409,2,2725.74,204430.5,2130.03,426006,24646.5,1643.1,24646.5,6131.00,0,28-12-2019
777,34,Female,0,salaried,302,2,52.46,3934.5,1455.53,291106,7.5,0.5,7.5,786.00,0,31-10-2019
778,90,Female,0,retired,1020,1,5710.6,428295,5710.6,1142120,10.35,0.69,10.35,2755.00,0,NaT
779,27,Female,,self_employed,1541,2,4408.63,330647.25,4408.63,881726,2.55,0.17,2.55,2849.00,0,NaT
780,65,Male,2,salaried,146,2,3746.34,280975.5,4141.28,828256,57650.1,3843.34,57650.1,5274.00,1,31-12-2019
781,49,Female,0,self_employed,1570,2,6410.28,480771,6410.28,1282056,0.9,0.06,0.9,545.00,0,28-04-2019
782,67,Female,2,self_employed,146,2,4311.91,323393.25,5019.9,1003980,17481.45,1165.43,17481.45,374.00,0,08-12-2019
783,55,Female,1,self_employed,1232,3,3344.74,250855.5,2669.14,533828,16501.35,1100.09,16501.35,8763.00,0,24-12-2019
784,75,Female,1,self_employed,334,1,5435.79,407684.25,17430.71,3486142,10.5,0.7,10.5,3209.00,1,28-12-2019
785,31,Male,0,salaried,,3,4053.28,303996,4432.08,886416,1.5,0.1,1.5,2378.00,0,26-06-2019
786,81,Male,0,retired,409,3,1980.08,148506,3698.53,739706,8.85,0.59,8.85,432.00,0,12-12-2019
787,39,Male,0,salaried,146,3,1257.63,94322.25,2285.49,457098,73722.45,4914.83,73722.45,7163.00,0,06-10-2019
788,70,Male,0,retired,1111,2,15544.61,1165845.75,20167.29,4033458,127176.3,8478.42,127176.3,8648.00,0,04-12-2019
789,41,Male,3,self_employed,,2,3288.61,246645.75,2761.59,552318,8501.1,566.74,8501.1,44252.00,0,24-12-2019
790,82,Female,0,retired,1020,1,8682.42,651181.5,8225.61,1645122,9,0.6,9,6363.00,0,31-10-2019
791,30,Male,0,self_employed,15,2,1769.97,132747.75,1846.44,369288,1294.5,86.3,1294.5,9283.00,0,14-02-2019
793,31,Male,0,salaried,575,2,3450,258750,6413.59,1282718,15387.45,1025.83,15387.45,72792.00,0,23-11-2019
794,33,Male,0,salaried,956,1,5688.22,426616.5,5688.22,1137644,3.6,0.24,3.6,73.00,0,NaT
795,28,Female,0,self_employed,,2,2568.79,192659.25,2568.79,513758,1.65,0.11,1.65,887.00,0,08-05-2019
796,68,Male,0,retired,1020,3,2351.23,176342.25,2351.23,470246,4.5,0.3,4.5,6773.00,0,15-01-2019
797,37,Male,0,salaried,1584,3,2835.91,212693.25,2835.91,567182,7.05,0.47,7.05,8173.00,0,04-09-2019
798,40,Female,0,self_employed,623,3,164.56,12342,2758.97,551794,4.35,0.29,4.35,8373.00,1,NaT
799,37,Female,,self_employed,705,2,3114.11,233558.25,3121.88,624376,4.65,0.31,4.65,7733.00,0,NaT
800,15,Female,0,student,905,3,2866.03,214952.25,2866.03,573206,7.05,0.47,7.05,123.00,0,NaT
801,38,Female,0,self_employed,905,3,3073.1,230482.5,3073.1,614620,3.45,0.23,3.45,833.00,0,06-03-2019
802,23,Male,0,student,531,2,1882.4,141180,6156.61,1231322,4.65,0.31,4.65,713833.00,1,28-12-2019
803,40,Female,1,self_employed,15,2,3228.87,242165.25,1715.77,343154,57215.4,3814.36,57215.4,8173.00,0,19-12-2019
804,11,Female,0,student,1111,3,2802.25,210168.75,2802.25,560450,6.15,0.41,6.15,4163.00,0,NaT
805,55,Male,0,self_employed,369,2,2085.07,156380.25,3335.33,667066,17025.6,1135.04,17025.6,2291.00,1,31-12-2019
806,84,Male,0,retired,15,2,3336.59,250244.25,5307.68,1061536,9,0.6,9,1488.00,0,15-12-2019
807,27,Male,0,student,1224,2,1402.26,105169.5,4349.24,869848,107405.85,7160.39,107405.85,1606.00,1,25-11-2019
808,59,Male,,self_employed,617,2,16994.37,1274577.75,16928.24,3385648,7.35,0.49,7.35,11373.00,1,NaT
809,27,Male,1,self_employed,496,2,1875.07,140630.25,2390.39,478078,34210.65,2280.71,34210.65,6766.00,1,10-12-2019
810,77,Male,0,self_employed,1096,1,1165.51,87413.25,2923.33,584666,110328.75,7355.25,110328.75,3241.00,0,20-12-2019
811,49,Female,0,self_employed,146,1,1633.64,122523,1633.64,326728,0.45,0.03,0.45,5377.00,0,NaT
812,38,Male,0,salaried,1020,2,335.82,25186.5,7273.54,1454708,76679.4,5111.96,76679.4,6628.00,1,04-12-2019
813,44,Female,0,self_employed,1525,2,3184.55,238841.25,2584.5,516900,4.05,0.27,4.05,382.00,0,10-12-2019
814,53,Male,2,self_employed,834,2,4385.18,328888.5,2324.7,464940,1546.5,103.1,1546.5,83820.00,0,22-11-2019
816,54,Female,0,self_employed,1096,1,169603.37,12720252.75,164759.49,32951898,7.05,0.47,7.05,54923.00,0,18-12-2019
817,26,Female,0,student,1373,2,1343.11,100733.25,1649.36,329872,64294.5,4286.3,64294.5,8383.00,1,30-10-2019
818,40,Female,0,self_employed,905,1,9385.41,703905.75,7900.66,1580132,9.9,0.66,9.9,3939.00,0,28-11-2019
819,36,Male,0,salaried,409,3,2213.01,165975.75,3752.56,750512,93914.85,6260.99,93914.85,8892.00,0,17-12-2019
820,40,Male,0,self_employed,1096,3,2728.64,204648,2728.64,545728,2.1,0.14,2.1,9833.00,0,NaT
821,49,Male,0,self_employed,162,2,2943.15,220736.25,3066.04,613208,0.9,0.06,0.9,28920.00,0,NaT
822,66,Male,0,retired,1096,2,3139.48,235461,2535.78,507156,2555.55,170.37,2555.55,92833.00,0,26-12-2019
823,61,Male,0,self_employed,1583,2,120.79,9059.25,6767.27,1353454,8.85,0.59,8.85,92883.00,1,31-12-2019
824,26,Male,0,self_employed,1643,1,1175.73,88179.75,6085.47,1217094,6,0.4,6,83801.00,1,11-10-2019
825,37,Female,0,self_employed,491,2,1783.54,133765.5,1783.54,356708,5.1,0.34,5.1,383.00,0,NaT
826,40,Male,0,self_employed,1648,2,13381.28,1003596,8236.06,1647212,1294.95,86.33,1294.95,92837.00,0,21-11-2019
827,45,Male,0,salaried,318,2,2584.01,193800.75,9068.75,1813750,3090,206,3090,123.00,0,15-11-2019
828,36,Male,1,self_employed,625,3,2093.52,157014,1600.44,320088,36784.95,2452.33,36784.95,5616.00,0,20-12-2019
829,88,Female,0,retired,623,1,64739.36,4855452,64651.34,12930268,3.45,0.23,3.45,56531.00,0,NaT
830,27,Male,0,self_employed,334,2,2903.93,217794.75,3634.8,726960,0.15,0.01,0.15,3314.00,0,03-07-2019
831,59,Male,0,self_employed,584,3,2623.55,196766.25,2508.04,501608,5.55,0.37,5.55,553.00,0,26-11-2019
832,41,Female,0,self_employed,447,3,3618.3,271372.5,3618.3,723660,0.9,0.06,0.9,234.00,0,29-03-2019
833,33,Male,0,self_employed,665,2,4233.05,317478.75,1731.72,346344,48797.1,3253.14,48797.1,224.00,0,21-07-2019
834,41,Male,0,self_employed,409,2,2687.6,201570,11051.06,2210212,10.05,0.67,10.05,0.00,0,11-12-2019
835,55,Female,0,self_employed,835,3,10164.34,762325.5,10164.34,2032868,2.1,0.14,2.1,2.00,0,22-06-2019
836,90,,0,self_employed,834,3,29978.88,2248416,34264.83,6852966,107144.55,7142.97,107144.55,4.00,1,04-05-2019
837,50,Male,0,self_employed,255,3,4871.14,365335.5,4927.92,985584,9.6,0.64,9.6,5.00,0,17-08-2019
838,40,Female,,self_employed,1079,3,2561.47,192110.25,1832.41,366482,7.35,0.49,7.35,134.00,0,23-06-2019
840,24,Male,0,student,144,1,1525.55,114416.25,15866.89,3173378,491757,32783.8,491757,10993.00,1,23-11-2019
841,30,Male,1,self_employed,409,2,7004.87,525365.25,2694.47,538894,118185.45,7879.03,118185.45,4257.00,0,31-12-2019
842,45,Male,0,self_employed,1020,3,2562.7,192202.5,2325.29,465058,9.45,0.63,9.45,746.00,0,23-10-2019
843,84,Male,0,retired,491,2,1438.69,107901.75,1438.69,287738,9,0.6,9,6444.00,0,NaT
844,60,Female,,self_employed,179,2,4419.72,331479,4683.39,936678,4291.95,286.13,4291.95,1257.00,0,10-07-2019
845,51,Female,,self_employed,1181,3,1868.25,140118.75,1868.25,373650,1.05,0.07,1.05,5446.00,0,NaT
846,90,Male,0,self_employed,656,2,643.86,48289.5,2184.09,436818,1.5,0.1,1.5,56.00,0,13-07-2019
847,53,Female,0,self_employed,1494,1,884.25,66318.75,1469.28,293856,9,0.6,9,3456.00,0,29-11-2019
848,45,Male,0,self_employed,579,2,12176.32,913224,10455.89,2091178,0.9,0.06,0.9,36.00,0,16-10-2019
849,59,Female,0,self_employed,848,2,8258.24,619368,8414.56,1682912,0.15,0.01,0.15,1383.00,0,18-12-2019
850,19,Female,,student,1294,3,1652.82,123961.5,1652.82,330564,2.1,0.14,2.1,2.00,0,22-06-2019
851,11,Male,0,student,1020,3,2214.55,166091.25,2214.55,442910,8.55,0.57,8.55,35.00,0,23-05-2019
852,24,Male,0,student,646,2,2461.22,184591.5,2503.63,500726,769.05,51.27,769.05,54.00,0,19-09-2019
853,52,Female,0,self_employed,1525,3,35650.38,2673778.5,31025.27,6205054,3662.1,244.14,3662.1,11421.00,0,24-12-2019
854,35,Female,0,self_employed,1020,3,6269.59,470219.25,6269.59,1253918,4.05,0.27,4.05,787.00,0,NaT
855,34,Male,0,salaried,415,2,252.02,18901.5,2351.52,470304,28721.1,1914.74,28721.1,5643.00,1,21-08-2019
856,84,Male,0,retired,1020,1,2966.64,222498,4929.81,985962,771436.35,51429.09,771436.35,165.00,0,28-12-2019
857,52,Female,0,self_employed,1494,2,224.59,16844.25,3060.06,612012,113047.35,7536.49,113047.35,1535.00,1,19-12-2019
858,33,Female,0,self_employed,1597,2,1759.17,131937.75,1759.17,351834,4.95,0.33,4.95,2542.00,0,20-09-2019
859,69,Male,0,salaried,1232,3,1664.77,124857.75,1966.51,393302,4.65,0.31,4.65,25566.00,1,01-11-2019
860,77,Female,0,retired,962,3,1542.4,115680,1651.74,330348,0.6,0.04,0.6,44.00,0,31-08-2019
862,40,Female,0,self_employed,732,3,3328.77,249657.75,3325.71,665142,0.15,0.01,0.15,4626.00,0,NaT
863,70,Male,1,self_employed,1551,3,1190.08,89256,1606.27,321254,13935,929,13935,6367.00,1,19-10-2019
864,72,Male,0,self_employed,623,2,1493.92,112044,1603.36,320672,0.9,0.06,0.9,736.00,0,30-11-2019
865,48,Female,,salaried,334,1,2510.99,188324.25,2498.83,499766,2.4,0.16,2.4,0.00,0,19-12-2019
866,70,Male,,retired,713,3,2004.96,150372,1584.1,316820,4303.65,286.91,4303.65,56.00,0,30-12-2019
867,75,Female,0,self_employed,1150,2,3939.08,295431,3975.37,795074,894.45,59.63,894.45,0.00,0,27-09-2019
868,43,Female,0,self_employed,1020,1,24883.42,1866256.5,32306.87,6461374,278146.65,18543.11,278146.65,6364.00,0,13-12-2019
869,90,,,self_employed,1494,2,11876.18,890713.5,12088,2417600,9.15,0.61,9.15,5014.00,0,24-01-2019
870,32,Male,,salaried,914,2,7622.99,571724.25,6164.33,1232866,5281.35,352.09,5281.35,536.00,0,31-12-2019
871,41,Male,0,self_employed,1096,3,1.1,82.5,1685.65,337130,67172.1,4478.14,67172.1,244.00,1,03-12-2019
872,25,Female,0,student,1336,2,1053.91,79043.25,2602.93,520586,3.9,0.26,3.9,2466.00,1,NaT
873,53,Male,0,self_employed,146,2,2119.46,158959.5,2757.3,551460,0.15,0.01,0.15,253.00,0,11-12-2019
874,29,Male,0,salaried,21,2,29873.9,2240542.5,12441.51,2488302,514821.15,34321.41,514821.15,4051.00,0,09-12-2019
875,36,Female,0,self_employed,1439,3,4103.39,307754.25,3317.32,663464,1.95,0.13,1.95,677.00,0,06-10-2019
876,33,Male,1,salaried,1020,2,6072.59,455444.25,3514.96,702992,47072.25,3138.15,47072.25,356.00,0,31-12-2019
877,64,Female,,self_employed,759,2,10592.9,794467.5,10592.9,2118580,3.15,0.21,3.15,3526.00,0,25-01-2019
878,71,Male,0,self_employed,575,1,4972.45,372933.75,4276.21,855242,6.15,0.41,6.15,746.00,0,12-12-2019
879,13,Male,,student,1643,3,995.54,74665.5,2259.91,451982,5.4,0.36,5.4,773.00,1,NaT
880,41,Male,0,self_employed,665,2,1439.06,107929.5,1960.78,392156,1717.05,114.47,1717.05,4467.00,0,18-12-2019
881,90,Male,0,self_employed,1033,1,11774.73,883104.75,7833.84,1566768,6.9,0.46,6.9,335.00,0,11-12-2019
882,54,Male,0,self_employed,1224,3,4092.86,306964.5,2210.53,442106,3,0.2,3,367.00,0,27-12-2019
883,41,Male,0,self_employed,1180,3,1348.62,101146.5,1535.22,307044,21437.4,1429.16,21437.4,6396.00,0,05-11-2019
884,67,Female,1,self_employed,1232,1,37430.66,2807299.5,2858.23,571646,8706.45,580.43,8706.45,5314.00,0,30-11-2019
885,77,Male,0,retired,1388,2,3828.04,287103,2639.22,527844,2.85,0.19,2.85,4317.00,0,05-12-2019
886,35,Female,0,self_employed,1096,2,2103.18,157738.5,10474.91,2094982,321434.85,21428.99,321434.85,2104.00,1,08-09-2019
888,52,Female,2,self_employed,409,2,27678.28,2075871,35552.42,7110484,27929.1,1861.94,27929.1,9074.00,0,21-12-2019
889,56,Male,0,self_employed,680,1,719.79,53984.25,5114.45,1022890,0.6,0.04,0.6,5144.00,1,26-12-2019
890,45,Male,2,self_employed,575,2,10567.76,792582,6209.02,1241804,79777.8,5318.52,79777.8,3904.00,1,25-05-2019
891,13,Male,0,student,1232,2,3981.57,298617.75,3790.04,758008,3.6,0.24,3.6,986.00,0,NaT
892,65,Female,0,self_employed,834,3,1992.16,149412,1477.69,295538,21435.45,1429.03,21435.45,4517.00,0,22-12-2019
